"trait","category","genotype_rule","result","priority"
"Muscle strength","Fitness","rs1815739=CC","You have a genetic profile suggesting fast muscle strength, ideal for explosive activities like sprinting. This trait is seen in some athletic populations. Strength training and proper warm-ups can enhance performance and reduce injury risk.","1"
"Muscle strength","Fitness","rs1815739=CT","You have an average genetic profile for muscle strength, suitable for a mix of activities. Regular exercise, including strength and cardio, can optimize your physical performance.","1"
"Muscle strength","Fitness","rs1815739=TT","You have a genetic profile suggesting less explosive muscle strength, favoring endurance over power. Focus on endurance training and incorporate strength exercises to build balanced fitness.","1"
"Muscle fiber type","Fitness","rs1042713=GG","Your genetic profile suggests Type I (endurance) muscle fibers, ideal for long-distance activities. This trait is common in endurance athletes. Incorporate aerobic exercises like running or cycling to maximize your potential.","1"
"Muscle fiber type","Fitness","rs1042713=AG","Your genetic profile suggests a mix of muscle fiber types, offering versatility in fitness activities. A balanced workout routine with both strength and endurance exercises can optimize your performance.","1"
"Muscle fiber type","Fitness","rs1042713=AA","Your genetic profile suggests Type II (strength) muscle fibers, ideal for power-based activities like weightlifting. This trait is common in strength athletes. Focus on strength training and ensure proper recovery to avoid strain.","1"
"Endurance","Health","rs4994=CC","You have a genetic profile suggesting better endurance, ideal for activities like marathon running. Regular aerobic exercise and a balanced diet can enhance your stamina.","1"
"Endurance","Health","rs4994=CG","You have an average genetic profile for endurance, suitable for a variety of activities. Incorporate both cardio and strength training for well-rounded fitness.","1"
"Endurance","Health","rs4994=GG","You have a genetic profile suggesting lower endurance, favoring shorter bursts of activity. Focus on interval training and ensure adequate recovery to improve stamina.","1"
"VO2max potential","Health","rs17602729=TT","You have a high genetic potential for VO2max, indicating strong aerobic capacity. This is common in elite endurance athletes. Regular cardio workouts can help you maximize this potential.","1"
"VO2max potential","Health","rs17602729=GT","You have an average genetic potential for VO2max, typical for many individuals. A mix of aerobic and strength exercises can optimize your fitness level.","1"
"VO2max potential","Health","rs17602729=GG","You have a lower genetic potential for VO2max, suggesting less natural aerobic capacity. Focus on consistent cardio training to improve endurance over time.","1"
"Injury tendency","Fitness","rs12722=TT","You have an elevated genetic risk of tendon injuries. This trait is common among active individuals. Proper warm-ups, stretching, and strengthening exercises can reduce injury risk.","1"
"Injury tendency","Fitness","rs12722=CT","You have an average genetic risk of tendon injuries. Regular stretching and balanced workouts can help maintain joint and tendon health.","1"
"Injury tendency","Fitness","rs12722=CC","You have a lower genetic risk of tendon injuries. Continue to support joint health with proper warm-ups and a balanced fitness routine.","1"
"Recovery ability","Health","rs2105=TT","You have a genetic profile suggesting slower recovery after exercise. This is not uncommon and can be managed. Prioritize rest, hydration, and a protein-rich diet to aid recovery.","1"
"Recovery ability","Health","rs2105=CT","You have an average genetic profile for recovery after exercise. Ensure adequate rest and nutrition, including protein and electrolytes, to support recovery.","1"
"Recovery ability","Health","rs2105=CC","You have a genetic profile suggesting faster recovery after exercise. Maintain a balanced diet and proper hydration to maximize your recovery potential.","1"
"Response to antidepressants (SSRIs)","Medication","rs6311=GG","You have a genetic profile suggesting an increased response to SSRIs. This trait varies across populations. Always consult a healthcare provider for personalized treatment plans and consider therapy alongside medication.","1"
"Response to antidepressants (SSRIs)","Medication","rs6311=AG","You have an average genetic response to SSRIs, typical for many individuals. Work with your doctor to find the right treatment plan, which may include therapy or lifestyle changes.","1"
"Response to antidepressants (SSRIs)","Medication","rs6311=AA","You have a genetic profile suggesting a reduced response to SSRIs. This does not mean treatment won’t work; consult your doctor for alternative medications or therapies to manage mental health.","1"
"Blood thinners (warfarin)","Medication","rs9923231=TT","You may need a low dosage of warfarin due to your genetic profile. This trait is common in some populations. Always follow your doctor’s guidance for medication dosing and regular monitoring.","1"
"Blood thinners (warfarin)","Medication","rs9923231=CT","You may need an average dosage of warfarin, typical for many individuals. Work closely with your healthcare provider to ensure safe and effective use of blood thinners.","1"
"Blood thinners (warfarin)","Medication","rs9923231=CC","You may need a normal dosage of warfarin based on your genetic profile. Regular monitoring and consultation with your doctor are essential for safe use.","1"
"Statin-induced muscle pain risk","Health Risks","rs4149056=CC","You have an elevated genetic risk of statin-induced muscle pain. This is relatively common and does not mean you can’t use statins. Discuss alternative medications or lower doses with your doctor, and maintain a healthy diet to support cholesterol management.","1"
"Statin-induced muscle pain risk","Health Risks","rs4149056=CT","You have a moderate genetic risk of statin-induced muscle pain. This is a common profile. Work with your doctor to monitor symptoms and consider lifestyle changes like exercise to manage cholesterol.","1"
"Statin-induced muscle pain risk","Health Risks","rs4149056=TT","You have a low genetic risk of statin-induced muscle pain. Continue to monitor your health with your doctor and maintain a heart-healthy lifestyle.","1"
"Opioid response (pain medication)","Health","rs1799971=AA","You have a normal genetic sensitivity to opioids, typical for many individuals. Always use pain medications as prescribed and consult your doctor for safe pain management.","1"
"Opioid response (pain medication)","Health","rs1799971=AG","You have a slightly reduced genetic sensitivity to opioids. This is not uncommon. Work with your doctor to find effective pain management strategies, possibly including non-opioid options.","1"
"Opioid response (pain medication)","Health","rs1799971=GG","You have a reduced genetic effect from opioids. This trait is less common but manageable. Discuss alternative pain relief options with your healthcare provider.","1"
"Anesthesia sensitivity","Health Risks","rs1799807=GG","You have a normal genetic sensitivity to anesthesia, typical for most people. Always inform your anesthesiologist about your medical history before procedures.","1"
"Anesthesia sensitivity","Health Risks","rs1799807=AG","You are a carrier of a genetic variant linked to malignant hyperthermia. This is rare but important to know. Share this information with your anesthesiologist to ensure safe anesthesia administration.","1"
"Anesthesia sensitivity","Health Risks","rs1799807=AA","You have an elevated genetic risk of anesthesia complications, such as malignant hyperthermia. This is rare and seen in specific populations. Always inform your anesthesiologist and discuss pre-procedure precautions.","1"
"Acetaminophen metabolism","Medication","rs1048943=GG","You have a normal genetic profile for acetaminophen processing. This is common and suggests typical drug metabolism. Always follow dosage instructions and consult a doctor if you have concerns.","1"
"Acetaminophen metabolism","Medication","rs1048943=AG","You have a slower genetic profile for acetaminophen processing. This is not uncommon. Use acetaminophen as directed and consult your doctor for safe usage, especially with frequent use.","1"
"Acetaminophen metabolism","Medication","rs1048943=AA","You have a delayed genetic profile for acetaminophen metabolism. This trait is less common. Avoid overuse and consult your doctor for guidance on safe pain relief options.","1"
"Lactose intolerance","Diet","rs4988235=TT","You are genetically tolerant to lactose, common in many populations. You can likely consume dairy without issues, but maintain a balanced diet for gut health.","1"
"Lactose intolerance","Diet","rs4988235=CT","You are partially genetically tolerant to lactose, which may cause mild discomfort with dairy. This is common in mixed ancestry populations. Consider low-lactose dairy or lactase supplements if needed.","1"
"Lactose intolerance","Diet","rs4988235=CC","You are genetically intolerant to lactose, which may cause digestive discomfort. This trait is common in some populations, like East Asians. Opt for lactose-free products and consult a dietitian for calcium-rich alternatives.","1"
"Celiac disease","Health Risks","rs2187668=TT","You have an elevated genetic risk of celiac disease, which is more common in certain populations like those of European descent. This does not mean you have celiac disease; consult a doctor for testing if you have symptoms. A gluten-free diet can help if diagnosed.","1"
"Celiac disease","Health Risks","rs2187668=CT","You have an average genetic risk of celiac disease, typical for many individuals. Monitor for symptoms like digestive issues and consult a doctor if concerned. A balanced diet supports gut health.","1"
"Celiac disease","Health Risks","rs2187668=CC","You have a low genetic risk of celiac disease. Continue to monitor your health and consult a doctor if you experience digestive symptoms.","1"
"Sickle cell disease (carrier)","Health","rs334=AA","You have a genetic profile indicating sickle cell disease. This is more common in certain populations, like those of African descent. Consult a doctor for comprehensive care and monitoring.","1"
"Sickle cell disease (carrier)","Health","rs334=AT","You are a carrier of the sickle cell trait, common in some populations. This does not typically cause symptoms but is important to know for family planning. Consult a doctor for genetic counseling.","1"
"Sickle cell disease (carrier)","Health","rs334=TT","You are a non-carrier of the sickle cell trait, indicating no genetic risk for sickle cell disease. Continue to maintain overall health with regular check-ups.","1"
"Cystic fibrosis (carrier)","Health Risks","rs113993960=GG","You have no genetic risk of cystic fibrosis, typical for most individuals. Continue regular health check-ups to maintain well-being.","1"
"Cystic fibrosis (carrier)","Health Risks","rs113993960=AG","You are a carrier of cystic fibrosis, which is relatively common and does not typically cause symptoms. This is important for family planning; consult a genetic counselor for more information.","1"
"Cystic fibrosis (carrier)","Health Risks","rs113993960=AA","You have a genetic risk of cystic fibrosis, which is rare. Consult a doctor for testing and management, and consider genetic counseling for family planning.","1"
"Hemochromatosis","Health Risks","rs1800562=GG","You have no genetic risk of hemochromatosis, typical for most people. Maintain a balanced diet and regular check-ups to monitor iron levels.","1"
"Hemochromatosis","Health Risks","rs1800562=GA","You are a carrier of hemochromatosis, which is relatively common and usually asymptomatic. Monitor iron levels with your doctor, especially if you have symptoms like fatigue.","1"
"Hemochromatosis","Health Risks","rs1800562=AA","You have a genetic risk of iron accumulation (hemochromatosis), which is rare. This does not guarantee the condition; consult a doctor for blood tests and consider a low-iron diet if advised.","1"
"Alzheimer (APOE4)","Health Risks","rs429358=CC","You have no APOE4 variant, indicating a lower genetic risk of Alzheimer’s disease. Maintain brain health with a balanced diet, exercise, and mental stimulation.","1"
"Alzheimer (APOE4)","Health Risks","rs429358=CT","You have one copy of the APOE4 variant, indicating a moderate genetic risk of Alzheimer’s disease. This is relatively common. Engage in brain-healthy activities like reading, puzzles, and regular exercise to support cognitive health.","1"
"Alzheimer (APOE4)","Health Risks","rs429358=TT","You have two copies of the APOE4 variant, indicating a higher genetic risk of Alzheimer’s disease. This is less common but does not guarantee the disease. Consult a doctor for monitoring, and prioritize a heart-healthy diet and cognitive exercises.","1"
"Parkinsons disease","Health Risks","rs356219=GG","You have an elevated genetic risk of Parkinson’s disease, which is relatively rare. This does not mean you will develop it. Regular exercise and a diet rich in antioxidants may support neurological health. Consult a doctor if you have concerns.","1"
"Parkinsons disease","Health Risks","rs356219=AG","You have an average genetic risk of Parkinson’s disease, typical for most individuals. Maintain a healthy lifestyle with regular physical activity to support brain health.","1"
"Parkinsons disease","Health Risks","rs356219=AA","You have a low genetic risk of Parkinson’s disease. Continue to support neurological health with a balanced diet and regular exercise.","1"
"Macular degeneration","Health Risks","rs1061170=GG","You have an elevated genetic risk of macular degeneration, more common in older adults. This does not guarantee the condition. Protect your eyes with UV sunglasses and a diet rich in leafy greens and omega-3s. Consult an eye specialist for regular check-ups.","1"
"Macular degeneration","Health Risks","rs1061170=CT","You have an average genetic risk of macular degeneration, typical for many people. Maintain eye health with regular check-ups and a diet high in antioxidants.","1"
"Macular degeneration","Health Risks","rs1061170=TT","You have a low genetic risk of macular degeneration. Continue to protect your eyes with UV-blocking sunglasses and a nutrient-rich diet.","1"
"Breast cancer (BRCA1)","Health Risks","rs799917=TT","You have a normal genetic risk of breast cancer, typical for most individuals. Regular screenings and a healthy lifestyle, including exercise and a balanced diet, can support breast health.","1"
"Breast cancer (BRCA1)","Health Risks","rs799917=GT","You have an elevated genetic risk of breast cancer, which is relatively common in some populations, such as those with Ashkenazi Jewish ancestry. This does not mean you will develop breast cancer. Regular mammograms, self-exams, and a healthy lifestyle can help with early detection and prevention. Consult a doctor for personalized screening plans.","1"
"Breast cancer (BRCA1)","Health Risks","rs799917=GG","You have a strongly elevated genetic risk of breast cancer, which is less common but significant. This does not guarantee the disease, as environmental factors also play a role. Discuss genetic counseling and enhanced screening options like MRIs or mammograms with your doctor. Maintain a healthy weight and limit alcohol to reduce risk.","1"
"Prostate cancer","Health Risks","rs10993994=TT","You have an elevated genetic risk of prostate cancer, which is relatively common in some populations. This does not mean you will develop it. Regular prostate screenings and a diet low in red meat can support prostate health. Consult a doctor for monitoring.","1"
"Prostate cancer","Health Risks","rs10993994=CT","You have an average genetic risk of prostate cancer, typical for many individuals. Maintain regular check-ups and a healthy lifestyle to support prostate health.","1"
"Prostate cancer","Health Risks","rs10993994=CC","You have a low genetic risk of prostate cancer. Continue regular screenings and a balanced diet to maintain prostate health.","1"
"Migraine sensitivity","Health Risks","rs1835740=AA","You have an elevated genetic risk of migraines, which is common in many populations. Stress management, adequate sleep, and avoiding triggers like certain foods can help reduce migraine frequency. Consult a doctor for personalized treatment options.","1"
"Migraine sensitivity","Health Risks","rs1835740=AG","You have an average genetic risk of migraines, typical for many people. Monitor triggers and maintain a healthy lifestyle to minimize migraine occurrences.","1"
"Migraine sensitivity","Health Risks","rs1835740=GG","You have a low genetic risk of migraines. Continue to manage stress and maintain good sleep hygiene to support overall health.","1"
"Sleep apnea","Sleep","rs9937053=TT","You have an elevated genetic risk of sleep apnea, which is more common in certain populations. This does not guarantee the condition. Maintain a healthy weight and consult a doctor if you experience symptoms like loud snoring or daytime fatigue.","1"
"Sleep apnea","Sleep","rs9937053=CT","You have an average genetic risk of sleep apnea, typical for many individuals. Monitor your sleep patterns and maintain a healthy lifestyle to reduce risk.","1"
"Sleep apnea","Sleep","rs9937053=CC","You have a low genetic risk of sleep apnea. Continue to maintain a healthy weight and good sleep hygiene for optimal health.","1"
"Heart disease","Health Risks","rs1333049=GG","You have an elevated genetic risk of heart disease, which is common in many populations. This does not guarantee heart issues. A heart-healthy diet, regular exercise, and avoiding smoking can significantly reduce risk. Consult a doctor for regular check-ups.","1"
"Heart disease","Health Risks","rs1333049=CG","You have an average genetic risk of heart disease, typical for many people. Maintain a balanced diet and active lifestyle to support heart health.","1"
"Heart disease","Health Risks","rs1333049=CC","You have a low genetic risk of heart disease. Continue to support heart health with regular exercise and a diet low in saturated fats.","1"
"Thrombosis risk","Health Risks","rs6025=GG","You have a normal genetic risk of thrombosis, typical for most individuals. Maintain a healthy lifestyle and consult a doctor if you have a family history of clotting disorders.","1"
"Thrombosis risk","Health Risks","rs6025=AG","You have an elevated genetic risk of thrombosis, which is relatively common. This does not mean you will develop clots. Stay active, avoid prolonged immobility, and consult a doctor for personalized advice.","1"
"Thrombosis risk","Health Risks","rs6025=AA","You have a strongly elevated genetic risk of thrombosis, which is less common. This does not guarantee clotting issues. Discuss preventive measures like regular movement and hydration with your doctor, especially if you have other risk factors.","1"
"Autoimmune sensitivity (HLA-DQ2)","Health","rs2187668=TT","You are a carrier of HLA-DQ2, indicating a genetic risk for autoimmune conditions. This is common in some populations. Monitor for symptoms and consult a doctor for testing if you suspect autoimmune issues.","1"
"Autoimmune sensitivity (HLA-DQ2)","Health","rs2187668=CT","You have a possible genetic sensitivity to autoimmune conditions, which is relatively common. Maintain a healthy lifestyle and consult a doctor if you experience unexplained symptoms.","1"
"Autoimmune sensitivity (HLA-DQ2)","Health","rs2187668=CC","You are a non-carrier of HLA-DQ2, indicating no increased genetic risk for related autoimmune conditions. Continue regular health check-ups to maintain well-being.","1"
"Blood type (ABO)","Health","rs8176719=del/del","You have blood type O, which is common in many populations. This type is a universal donor. Knowing your blood type is useful for medical emergencies and donations.","1"
"Blood type (ABO)","Health","rs8176719=del/G","You have blood type A or B, depending on other genetic markers. This is common globally. Confirm your blood type with a medical test for clarity in medical situations.","1"
"Blood type (ABO)","Health","rs8176719=G/G","You have blood type A or B, depending on other genetic markers. This is a common profile. Verify your blood type with a healthcare provider for medical accuracy.","1"
"Rh factor","Health","rs590787=TT","You are Rh+, a common trait in most populations. This is important for blood transfusions and pregnancy. Confirm your Rh status with a medical test.","1"
"Rh factor","Health","rs590787=CT","You are a carrier of Rh-, which is less common but significant for pregnancy planning. Consult a doctor for guidance, especially if planning a family.","1"
"Rh factor","Health","rs590787=CC","You are Rh-, which is less common and important for medical procedures or pregnancy. Discuss with your doctor to understand implications, especially for pregnancy.","1"
"HLA typing (indicative)","Health Risks","rs9271366=AA","You have an elevated genetic autoimmune sensitivity, which is relatively common in some populations. This does not guarantee autoimmune disease. Monitor symptoms and consult a doctor if you have concerns.","1"
"HLA typing (indicative)","Health Risks","rs9271366=AG","You have an average genetic autoimmune sensitivity, typical for many individuals. Maintain a healthy lifestyle to support immune health.","1"
"HLA typing (indicative)","Health Risks","rs9271366=GG","You have a lower genetic autoimmune sensitivity. Continue to support immune health with a balanced diet and regular check-ups.","1"
"Vitamin D sensitivity","Health","rs2282679=GG","You have an increased genetic need for vitamin D, common in some populations. Ensure adequate sun exposure or take vitamin D supplements as recommended by your doctor.","1"
"Vitamin D sensitivity","Health","rs2282679=GT","You have an average genetic need for vitamin D, typical for many people. Maintain moderate sun exposure and a diet with vitamin D-rich foods like fatty fish.","1"
"Vitamin D sensitivity","Health","rs2282679=TT","You have a normal genetic need for vitamin D. Continue to get moderate sun exposure and include vitamin D sources in your diet for optimal health.","1"
"Folate need","Health","rs1801133=TT","You have an increased genetic need for folate, which is not uncommon. Include folate-rich foods like leafy greens or consider supplements after consulting a doctor.","1"
"Folate need","Health","rs1801133=CT","You have an average genetic need for folate, typical for many individuals. Maintain a diet with folate-rich foods like beans and spinach for overall health.","1"
"Folate need","Health","rs1801133=CC","You have a normal genetic need for folate. Continue to include folate-rich foods in your diet to support cell health.","1"
"B12 absorption","Diet","rs602662=AA","You have an increased genetic need for vitamin B12, which is relatively common. Include B12-rich foods like meat or fortified cereals, or consult a doctor for supplements.","1"
"B12 absorption","Diet","rs602662=AG","You have an average genetic need for vitamin B12, typical for many people. Maintain a balanced diet with B12 sources like dairy or eggs.","1"
"B12 absorption","Diet","rs602662=GG","You have a normal genetic need for vitamin B12. Continue to include B12-rich foods in your diet for optimal health.","1"
"Iron absorption","Diet","rs855791=GG","You have an increased genetic tendency for iron absorption, which can be beneficial but requires monitoring. Avoid excessive iron supplements and consult a doctor for blood tests.","1"
"Iron absorption","Diet","rs855791=AG","You have an average genetic tendency for iron absorption, typical for many individuals. Maintain a balanced diet with iron-rich foods like spinach or lean meats.","1"
"Iron absorption","Diet","rs855791=AA","You have a normal genetic tendency for iron absorption. Continue a balanced diet to maintain healthy iron levels.","1"
"Magnesium/calcium processing","Diet","rs17216707=TT","You have a normal genetic profile for magnesium and calcium balance. Maintain a diet rich in these minerals, like nuts and dairy, for bone and muscle health.","1"
"Magnesium/calcium processing","Diet","rs17216707=CT","You have a genetic sensitivity to magnesium and calcium balance, which is relatively common. Ensure adequate intake of these minerals through diet or supplements as advised by a doctor.","1"
"Magnesium/calcium processing","Diet","rs17216707=CC","You have an increased genetic sensitivity to magnesium and calcium balance. This is less common but manageable. Consult a doctor for dietary advice or supplements to support bone health.","1"
"Antioxidant capacity","Health","rs4880=TT","You have a genetic profile suggesting increased oxidative stress, which is not uncommon. Include antioxidant-rich foods like berries and leafy greens to support cellular health.","1"
"Antioxidant capacity","Health","rs4880=CT","You have an average genetic antioxidant capacity, typical for many individuals. Maintain a diet high in antioxidants to support overall health.","1"
"Antioxidant capacity","Health","rs4880=GG","You have a genetic profile suggesting a better antioxidant defense system. Continue to support this with a diet rich in fruits and vegetables.","1"
"Homocysteine level","Health","rs1801131=GG","You have a moderately elevated genetic homocysteine level, which is relatively common. A diet rich in B vitamins, like folate and B12, can help manage levels. Consult a doctor for monitoring.","1"
"Homocysteine level","Health","rs1801131=GT","You have a moderately elevated genetic homocysteine level, which is not uncommon. Include B vitamin-rich foods and consult a doctor if you have cardiovascular concerns.","1"
"Homocysteine level","Health","rs1801131=TT","You have a normal genetic homocysteine level. Continue to support heart health with a balanced diet and regular exercise.","1"
"Sleep duration","Sleep","rs73598374=AA","You are genetically a short sleeper (less than 6 hours), which is rare but functional for some. Ensure quality sleep and monitor energy levels to maintain health.","1"
"Sleep duration","Sleep","rs73598374=AG","You have an average genetic sleep duration, typical for most people. Aim for 7-9 hours of sleep to support overall well-being.","1"
"Sleep duration","Sleep","rs73598374=GG","You have a normal genetic sleep duration. Aim for 7-9 hours of quality sleep to optimize health and cognitive function.","1"
"Sleep quality","Sleep","rs6888451=GG","You have a genetic profile suggesting poorer sleep quality, which is not uncommon. Practice good sleep hygiene, like avoiding screens before bed, to improve sleep.","1"
"Sleep quality","Sleep","rs6888451=AG","You have an average genetic profile for sleep quality, typical for many individuals. Maintain a consistent sleep schedule to enhance rest.","1"
"Sleep quality","Sleep","rs6888451=AA","You have a genetic profile suggesting better sleep quality. Continue to prioritize a restful environment and consistent sleep routine.","1"
"Snoring","Sleep","rs10928560=TT","You have an increased genetic likelihood of snoring, which is common in some populations. Maintain a healthy weight and consult a doctor if snoring disrupts sleep.","1"
"Snoring","Sleep","rs10928560=CT","You have a moderate genetic likelihood of snoring, typical for many people. Monitor sleep patterns and maintain a healthy lifestyle to reduce snoring.","1"
"Snoring","Sleep","rs10928560=CC","You have a low genetic risk of snoring. Continue to support sleep health with good sleep hygiene practices.","1"
"Restless legs","Sleep","rs2300478=TT","You have an increased genetic likelihood of restless legs, which is not uncommon. Magnesium supplements and regular exercise may help reduce symptoms. Consult a doctor for advice.","1"
"Restless legs","Sleep","rs2300478=CT","You have an average genetic likelihood of restless legs, typical for many individuals. Maintain a healthy lifestyle to minimize discomfort.","1"
"Restless legs","Sleep","rs2300478=CC","You have a low genetic risk of restless legs. Continue to support leg health with regular movement and a balanced diet.","1"
"Morning/evening preference","Health","rs6854215=AA","You are genetically a morning person, preferring early activity. This is common in some populations. Align your schedule with your natural rhythm for better productivity.","1"
"Morning/evening preference","Health","rs6854215=AG","You have an average genetic chronotype, typical for many people. Maintain a consistent sleep schedule to optimize energy levels.","1"
"Morning/evening preference","Health","rs6854215=GG","You are genetically an evening person, preferring later activity. This is common in some populations. Ensure adequate sleep by avoiding late-night overstimulation.","1"
"Tasting sensitivity","Diet","rs1726866=GG","You have a normal genetic tasting sensitivity, typical for most people. Enjoy a varied diet to support overall nutrition.","1"
"Tasting sensitivity","Diet","rs1726866=AG","You have an average genetic tasting sensitivity, common in many populations. Continue to explore diverse flavors for a balanced diet.","1"
